date,domain,status,status_details,pages
2021-12-11,domain2,Excluded,Blocked due to access forbidden (403),1
2021-12-11,domain2,Excluded,Blocked due to other 4xx issue,1
2021-12-11,domain2,Excluded,Crawled - currently not indexed,4396
2021-12-11,domain2,Excluded,Discovered - currently not indexed,1934
2021-12-11,domain2,Excluded,Duplicate without user-selected canonical,788
2021-12-11,domain2,Excluded,"Duplicate, Google chose different canonical than user",1387
2021-12-11,domain2,Excluded,"Duplicate, submitted URL not selected as canonical",25
2021-12-11,domain2,Excluded,Excluded by ‘noindex’ tag,260
2021-12-11,,Valid,"Indexed, not submitted in sitemap",3631
2021-12-11,domain2,Warning,"Indexed, though blocked by robots.txt",27
2021-12-11,domain2,Excluded,Not found (404),167
2021-12-11,domain2,Warning,Page indexed without content,0
2021-12-11,domain2,Excluded,Page with redirect,10269
2021-12-11,domain2,Error,Server error (5xx),13
2021-12-11,domain2,Excluded,Soft 404,664
2021-12-11,domain2,Valid,Submitted and indexed,11158
2021-12-11,domain2,Error,Submitted URL not found (404),37
2021-12-11,domain2,Error,Submitted URL seems to be a Soft 404,1
2021-12-13,domain2,Excluded,Alternate page with proper canonical tag,2122
2021-12-13,domain2,Excluded,Blocked by robots.txt,7
2021-12-13,domain2,Excluded,Blocked due to access forbidden (403),1
2021-12-13,domain2,Excluded,Blocked due to other 4xx issue,3
2021-12-13,domain2,Excluded,Crawled - currently not indexed,4330
2021-12-13,domain2,Excluded,Discovered - currently not indexed,1995
2021-12-13,domain2,Excluded,Duplicate without user-selected canonical,772
2021-12-13,domain2,Excluded,"Duplicate, Google chose different canonical than user",1367
2021-12-13,domain2,Excluded,"Duplicate, submitted URL not selected as canonical",24
2021-12-13,domain2,Excluded,Excluded by ‘noindex’ tag,245
2021-12-13,domain2,Valid,"Indexed, not submitted in sitemap",3565
2021-12-13,domain2,Warning,"Indexed, though blocked by robots.txt",20
2021-12-13,domain2,Excluded,Not found (404),222
2021-12-13,domain2,Warning,,0
2021-12-13,domain2,Excluded,Page with redirect,10152
2021-12-13,domain2,Error,Redirect error,14
2021-12-13,domain2,Error,Server error (5xx),14
2021-12-13,domain2,Excluded,Soft 404,662
2021-12-13,domain2,Valid,Submitted and indexed,11177
2021-12-13,domain2,Error,Submitted URL not found (404),50
2021-12-13,domain2,Error,Submitted URL seems to be a Soft 404,1
2021-12-14,domain2,Excluded,Alternate page with proper canonical tag,2122
2021-12-14,domain2,Excluded,Blocked by robots.txt,7
2021-12-14,domain2,Excluded,Blocked due to access forbidden (403),1
2021-12-14,domain2,Excluded,Blocked due to other 4xx issue,3
2021-12-14,domain2,Excluded,Crawled - currently not indexed,4330
2021-12-14,domain2,Excluded,Discovered - currently not indexed,
2021-12-14,domain2,Excluded,Duplicate without user-selected canonical,772
2021-12-14,domain2,Excluded,"Duplicate, Google chose different canonical than user",1367
2021-12-14,domain2,Excluded,"Duplicate, submitted URL not selected as canonical",24
2021-12-14,domain2,Excluded,Excluded by ‘noindex’ tag,245
2021-12-14,domain2,Valid,"Indexed, not submitted in sitemap",3565
2021-12-14,domain2,Warning,"Indexed, though blocked by robots.txt",20
2021-12-14,domain2,Excluded,Not found (404),222
2021-12-14,domain2,Warning,Page indexed without content,0
2021-12-14,domain2,Excluded,Page with redirect,10152
2021-12-14,domain2,Error,Redirect error,14
2021-12-14,domain2,Error,Server error (5xx),14
2021-12-14,domain2,Excluded,Soft 404,662
2021-12-14,domain2,Valid,Submitted and indexed,11177
2021-12-14,domain2,Error,Submitted URL not found (404),50
2021-12-14,domain2,Error,Submitted URL seems to be a Soft 404,1
2021-12-15,domain2,Excluded,Alternate page with proper canonical tag,2110
2021-12-15,domain2,Excluded,Blocked by robots.txt,8
2021-12-15,domain2,Excluded,Blocked due to access forbidden (403),1
2021-12-15,domain2,Excluded,Blocked due to other 4xx issue,3
2021-12-15,domain2,Excluded,Crawled - currently not indexed,4291
2021-12-15,domain2,Excluded,Discovered - currently not indexed,1989
2021-12-15,domain2,Excluded,Duplicate without user-selected canonical,761
2021-12-15,domain2,Excluded,"Duplicate, Google chose different canonical than user",1356
2021-12-15,domain2,Excluded,"Duplicate, submitted URL not selected as canonical",25
2021-12-15,domain2,Excluded,Excluded by ‘noindex’ tag,250
2021-12-15,domain2,Valid,"Indexed, not submitted in sitemap",3531
2021-12-15,domain2,Warning,"Indexed, though blocked by robots.txt",19
2021-12-15,domain2,Excluded,Not found (404),260
2021-12-15,domain2,Warning,Page indexed without content,0
2021-12-15,domain2,Excluded,Page with redirect,10123
2021-12-15,domain2,Error,Redirect error,13
,domain2,,Server error (5xx),15
2021-12-15,domain2,Excluded,Soft 404,666
2021-12-15,domain2,Valid,Submitted and indexed,11186
2021-12-15,domain2,Error,Submitted URL not found (404),56
2021-12-15,domain2,Error,Submitted URL seems to be a Soft 404,1
2021-12-06,domain3,Excluded,Alternate page with proper canonical tag,650
2021-12-06,domain3,Excluded,Blocked by robots.txt,11
2021-12-06,domain3,Excluded,Crawled - currently not indexed,1975
2021-12-06,domain3,Excluded,Discovered - currently not indexed,776
2021-12-06,domain3,Excluded,Duplicate without user-selected canonical,16
2021-12-06,domain3,Excluded,"Duplicate, Google chose different canonical than user",4
2021-12-06,domain3,Excluded,"Duplicate, submitted URL not selected as canonical",12
2021-12-06,domain3,Excluded,Excluded by ‘noindex’ tag,3265
2021-12-06,domain3,Valid,"Indexed, not submitted in sitemap",923
2021-12-06,domain3,Warning,"Indexed, though blocked by robots.txt",21
2021-12-06,domain3,Excluded,Not found (404),15
2021-12-06,domain3,Excluded,Page with redirect,1893
2021-12-06,domain3,Valid,Submitted and indexed,6224
2021-12-06,domain3,Error,Submitted URL not found (404),0
2021-12-07,domain3,Excluded,Alternate page with proper canonical tag,650
2021-12-07,domain3,Excluded,Blocked by robots.txt,11
2021-12-07,domain3,Excluded,Crawled - currently not indexed,1975
2021-12-07,domain3,Excluded,Discovered - currently not indexed,776
2021-12-07,domain3,Excluded,Duplicate without user-selected canonical,16
2021-12-07,domain3,Excluded,"Duplicate, Google chose different canonical than user",4
2021-12-07,domain3,Excluded,"Duplicate, submitted URL not selected as canonical",12
2021-12-07,domain3,Excluded,Excluded by ‘noindex’ tag,3265
2021-12-07,domain3,Valid,"Indexed, not submitted in sitemap",923
2021-12-07,domain3,Warning,"Indexed, though blocked by robots.txt",21
2021-12-07,domain3,Excluded,Not found (404),15
2021-12-07,domain3,Excluded,Page with redirect,1893
2021-12-07,domain3,Valid,Submitted and indexed,6224
2021-12-07,domain3,Error,Submitted URL not found (404),0
2021-12-09,domain3,Excluded,Alternate page with proper canonical tag,633
